title,coffee_type,rating,reviews,price_per_kg
"folgers classic roast ground coffee, 40.3-ounce",classic roast,3.8,93,12.183807439824944
"café bustelo, espresso style dark roast ground coffee, vacuum-packed 10 oz. brick","espresso,dark roast",4.7,914,13.26278659611993
"folgers classic roast ground coffee, medium roast coffee, 25.9 ounce canister","medium roast,classic roast",4.4,740,13.57755685687049
"maxwell house original roast ground coffee, 42.5 oz. canister",,4.8,1321,8.233048385758154
"great value classic roast medium ground coffee, value size, 48 oz",classic roast,4.7,1598,7.333921222810112
"great value classic roast medium ground coffee, 30.5 oz",classic roast,4.2,263,9.228634208395976
"caf bustelo, espresso style dark roast ground coffee, vacuum-packed 10 oz. brick","espresso,dark roast",4.7,914,13.26278659611993
"black rifle coffee tactisquatch, dark roast, ground coffee,12 oz","black rifle coffee,dark roast",3.0,6,38.154027042915935
"black rifle coffee just black whole bean coffee, medium roast, 10.6 oz","medium roast,black rifle coffee",3.7,10,43.194675540765395
"folgers black silk ground coffee, smooth dark roast coffee, 33.7ounce canister","black silk ground coffee,dark roast",4.9,20,14.632614611680971
"folgers black silk ground coffee, smooth dark roast coffee, 22.6ounce canister","black silk ground coffee,dark roast",4.6,11,16.10738255033557
"black rifle coffee loyalty roast, light roast, ground coffee, 12 oz","light roast,black rifle coffee",3.8,5,38.154027042915935
"black rifle coffee freedom fuel, dark roast, ground coffee,12 oz","black rifle coffee,dark roast",4.3,6,38.154027042915935
"black rifle coffee kodiak attack, medium roast, ground coffee, 12 oz","medium roast,black rifle coffee",3.7,3,38.154027042915935
"mccafe premium roast ground coffee, medium roast, 30 oz canister",medium roast,4.7,1512,15.261610817166373
"maxwell house medium roast 100% colombian ground coffee, 24.5 oz. canister","colombian,medium roast",4.7,667,11.315865246184854
"dunkin' original blend, medium roast coffee, 30-ounce canister",medium roast,4.8,870,21.069958847736626
"dunkin’ original blend coffee, medium roast coffee, 12 oz bag",medium roast,4.8,495,0.0
"folgers 100% colombian ground coffee, 37-ounce",colombian,4.8,630,23.6152159405091
"dunkin’ original blend coffee, medium roast coffee, 12 oz bag",medium roast,4.8,495,0.0
"folgers 100% colombian coffee, medium roast ground coffee, 33.7 ounce canister","colombian,medium roast",3.5,8,14.632614611680971
"great value donut shop 100% arabica medium roast ground coffee pods, 12 ct","arabica,medium roast",4.5,673,0.0
"folgers black silk ground coffee, 37-ounce",black silk ground coffee,4.7,1226,22.28048431690342
"great value crme brulee medium roast ground coffee, 12 oz, bag",medium roast,4.4,166,14.638447971781305
"great value french vanilla medium roast ground coffee, 12 oz, bag","french,medium roast",4.3,112,14.638447971781305
"great value 100% arabica french roast dark ground coffee, 24.2 oz","french,french roast,arabica",4.6,772,14.458533741437106
"folgers classic roast instant coffee crystals, 8-ounce jar","instant coffee,classic roast",4.6,13,0.0
"folgers gourmet supreme ground coffee, 24.2 ounce canisters",,4.6,536,15.245591021716951
"dunkin french vanilla artificially flavored coffee, ground coffee, 12 oz bag",french,4.7,279,23.398001175778955
"dunkin' original blend, medium roast coffee, 30-ounce canister",medium roast,4.8,870,21.069958847736626
"folgers classic decaf ground coffee, medium roast, 25.9-ounce",medium roast,4.5,64,16.668936402015525
"mccafe colombian ground coffee, medium roast, 30 oz. canister","colombian,medium roast",4.7,527,15.261610817166373
"great value classic decaf medium roast ground coffee, 30.5 oz",medium roast,4.6,604,10.084422343009136
"folgers black silk ground coffee, smooth dark roast coffee, 24.2 ounce canister","black silk ground coffee,dark roast",4.6,1060,29.13569450517417
"folgers classic roast, medium roast coffee, k-cup pods for keurig k-cup brewers, 24-count","medium roast,classic roast",4.7,2444,21.92827748383304
"great value 100% arabica french vanilla medium roast ground coffee pods, 12 ct","french,arabica,medium roast",4.4,349,12.6984126984127
"yuban dark roast bold ground coffee, 25.3 oz canister",dark roast,4.6,266,13.88733965421082
"great value classic medium roast instant coffee, 12 oz","instant coffee,medium roast",4.5,507,13.462669018224574
"folgers classic roast ground coffee, medium roast coffee, 30.5 ounce canister","medium roast,classic roast",4.6,1537,18.966115415751126
"folgers 100% colombian, medium-dark roast ground coffee, 24.2-ounce","colombian,medium-dark roast,dark roast",4.1,869,33.69771170383326
"folgers classic roast ground coffee, medium roast, 11.3-ounce","medium roast,classic roast",4.5,901,37.43365594754917
"don francisco's hawaiian hazelnut gourmet coffee, 12 oz",gourmet coffee,4.8,96,58.641975308641975
"maxwell house dark french roast ground coffee, 25.6 oz. canister","french,french roast",4.7,511,34.2428000551192
"seattle's best coffee portside blend medium roast ground coffee, 12 oz",medium roast,4.3,255,45.88477366255144
"folgers half caff ground coffee, medium roast, 25.4-ounce",medium roast,4.8,682,30.37078183585613
"folgers classic roast ground coffee, medium roast coffee, 48 oz canister","medium roast,classic roast",4.9,15148,10.229276895943562
"great value 100% arabica colombian medium dark ground coffee, 11.3 oz","colombian,arabica,medium dark",4.4,123,14.486418982204182
"great value donut shop 100% arabica medium ground coffee, 30.5 oz",arabica,4.6,613,11.472186885625073
"great value 100% arabica colombian medium dark ground coffee, 24.2 oz","colombian,arabica,medium dark",4.6,786,14.458533741437106
"folgers classic roast ground coffee, 40.3-ounce",classic roast,3.8,93,12.183807439824944
"café bustelo, espresso style dark roast ground coffee, vacuum-packed 10 oz. brick","espresso,dark roast",4.7,914,13.26278659611993
"folgers classic roast ground coffee, medium roast coffee, 25.9 ounce canister","medium roast,classic roast",4.4,740,13.57755685687049
"maxwell house original roast ground coffee, 42.5 oz. canister",,4.8,1321,8.233048385758154
"great value 100% arabica french vanilla medium roast ground coffee pods, 12 ct","french,arabica,medium roast",4.4,349,12.6984126984127
"yuban dark roast bold ground coffee, 25.3 oz canister",dark roast,4.6,266,13.88733965421082
"starbucks pike place roast, ground coffee, medium roast, 28 oz",medium roast,4.5,1237,23.280423280423282
"great value classic medium roast instant coffee, 12 oz","instant coffee,medium roast",4.5,507,13.462669018224574
"great value donut shop, 100% arabica, medium roast, ground coffee, 32 oz","arabica,medium roast",4.5,97,12.918871252204585
"starbucks caramel flavored coffee, ground coffee, naturally flavored, 11 oz","caramel flavored,caramel",4.5,389,28.80051314945478
"folgers black silk ground coffee, smooth dark roast coffee, 33.7ounce canister","black silk ground coffee,dark roast",4.9,20,14.632614611680971
"folgers black silk ground coffee, smooth dark roast coffee, 22.6ounce canister","black silk ground coffee,dark roast",4.6,11,16.10738255033557
"café bustelo espresso ground coffee, dark roast, 36-ounce canister","espresso,dark roast",4.8,774,14.618851655888694
"great value 100% arabica caramel medium roast coffee pods, 12 ct","caramel,arabica,medium roast",4.5,554,12.6984126984127
"caf bustelo, espresso style dark roast ground coffee, 10 oz. can","espresso,dark roast",4.7,388,17.354497354497354
"dunkin’ caramel me crazy ground coffee, 11 ounces",caramel,4.3,292,25.529185375240537
"chock full onuts original blend ground coffee, medium roast, 30.5 oz. can",medium roast,4.8,524,9.529316525962761
